team_name;common_name;season;country;minutes_per_goal_scored_overall;minutes_per_goal_conceded_overall;shots_per_match_overall;fouls_by_this_team_overall;offsides_total_overall
US Lecce;Lecce;2023/2024;Italy;45;90;10.33;44;7
SS Monza 1912;Monza;2023/2024;Italy;134;54;11,00;35;10
Villarreal CF;Villarreal;2023/2024;Spain;60;40;10,00;52;22
FC Barcelona;FC Barcelona;2023/2024;Spain;45;90;13.25;51;20
Real Madrid CF;Real Madrid;2023/2024;Spain;45;180;16.25;45;14
Sevilla FC;Sevilla FC;2023/2024;Spain;54;34;11.33;40;9
Club Atletico de Madrid;Atletico Madrid;2023/2024;Spain;27;273;10.67;36;12
UD Las Palmas;UD Las Palmas;2023/2024;Spain;360;120;6.5;32;22
Deportivo Alaves;Deportivo Alaves;2023/2024;Spain;72;72;10.25;62;11
Real Club Celta de Vigo;Celta de Vigo;2023/2024;Spain;90;60;11.5;51;17
Granada CF;Granada CF;2023/2024;Spain;51;30;8.5;50;26
Real Betis Balompie;Real Betis;2023/2024;Spain;72;72;9.5;58;18
Athletic Club Bilbao;Athletic Club Bilbao;2023/2024;Spain;60;90;8,00;67;19
CA Osasuna;CA Osasuna;2023/2024;Spain;72;72;9,00;42;17
Valencia CF;Valencia CF;2023/2024;Spain;90;90;10,00;49;13
Real Sociedad de Futbol;Real Sociedad;2023/2024;Spain;51;72;10.5;73;26
Rayo Vallecano;Rayo Vallecano;2023/2024;Spain;90;45;11.5;73;20
Getafe Club de Futbol;Getafe CF;2023/2024;Spain;180;72;8.5;70;16
UD Almeri­a;Almeria;2023/2024;Spain;90;40;13.25;55;12
Real Club Deportivo Mallorca;RCD Mallorca;2023/2024;Spain;120;72;8,00;75;25
Cadiz CF;Cadiz;2023/2024;Spain;72;90;9.75;78;11
Girona FC;Girona FC;2023/2024;Spain;51;180;7.75;51;18
