full_name;age;birthday_GMT;league;season;position;Current Club;minutes_played_overall;minutes_played_home;minutes_played_away;nationality;appearances_overall;goals_overall;assists_overall;penalty_goals;penalty_misses;yellow_cards_overall;red_cards_overall;assists_per_90_overall;passes_per_90_overall;shots_total_overall;blocks_total_overall
Dario Jorge Caceres Ovelar;25;lunes, 26 de enero de 1998;Primera Division;2023;Defender;Defensa y Justicia;716;309;407;Argentina;17;1;1;0;0;2;0;0.13;0.00;0;0
David Gallardo;26;viernes, 28 de febrero de 1997;Primera Division;2023;Midfielder;Sarmiento;203;82;121;Argentina;6;0;0;0;0;0;0;0;14.14;1;1
David Gonzalez;20;martes, 08 de julio de 2003;Primera Division;2023;Midfielder;Racing Club;29;0;29;Argentina;1;0;0;0;0;0;0;0;0.00;0;0
David Matias Barbona;28;miercoles, 22 de febrero de 1995;Primera Division;2023;Midfielder;Defensa y Justicia;1620;924;696;Argentina;24;3;5;0;0;3;0;0.28;33.59;26;0
David Sotelo;20;miercoles, 30 de julio de 2003;Primera Division;2023;Midfielder;Newell's Old Boys;100;68;32;Argentina;4;0;0;0;0;0;0;0;0.00;0;0
David Zalazar;21;jueves, 09 de mayo de 2002;Primera Division;2023;Midfielder;Barracas Central;15;15;0;Argentina;1;0;0;0;0;0;0;0;18.00;0;0
Deian Veron;22;lunes, 25 de septiembre de 2000;Primera Division;2023;Midfielder;Estudiantes;92;67;25;Argentina;3;0;0;0;0;0;0;0;41.09;0;0
Diego Agustin Gutierrez;20;lunes, 10 de marzo de 2003;Primera Division;2023;Midfielder;Union Santa Fe;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Diego Alexandre Segovia Hernandez;23;lunes, 15 de mayo de 2000;Primera Division;2023;Goalkeeper;Independiente;0;0;0;Uruguay;0;0;0;0;0;0;0;0;0;0;0
Diego Barrera;19;martes, 22 de junio de 2004;Primera Division;2023;Midfielder;Talleres Cordoba;238;140;98;Argentina;10;0;1;0;0;1;0;0.38;0.00;0;0
Diego Ezequiel Calcaterra;22;jueves, 26 de julio de 2001;Primera Division;2023;Midfielder;Sarmiento;436;166;270;Argentina;6;1;0;0;0;2;0;0;0.00;0;0
Diego Gabriel Azcurra;25;domingo, 24 de mayo de 1998;Primera Division;2023;Midfielder;Sarmiento;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Diego Godin;37;domingo, 16 de febrero de 1986;Primera Division;2023;Defender;Velez Sarsfield;1155;540;615;Uruguay;13;0;0;0;0;3;0;0;48.47;8;11
Diego Herni Gonzalez;35;martes, 09 de febrero de 1988;Primera Division;2023;Midfielder;Boca Juniors;74;17;57;Argentina;5;0;0;0;0;1;0;0;81.49;1;1
Diego Luis Braghieri;36;lunes, 23 de febrero de 1987;Primera Division;2023;Defender;Lanus;547;385;162;Argentina;7;1;0;0;0;1;0;0;38.83;1;7
Diego Luis Valoyes Ruiz;26;domingo, 22 de septiembre de 1996;Primera Division;2023;Forward;Talleres Cordoba;1605;810;795;Colombia;23;4;6;1;0;3;0;0.34;25.95;32;4
Diego Martin Novaretti;38;jueves, 09 de mayo de 1985;Primera Division;2023;Defender;Belgrano;224;108;116;Argentina;9;0;0;0;0;0;0;0;39.78;2;1
Diego Mastrigelo;20;jueves, 07 de noviembre de 2002;Primera Division;2023;Defender;Gimnasia La Plata;103;13;90;Argentina;2;0;0;0;0;1;0;0;0.00;0;0
Diego Matias Rodriguez;34;domingo, 25 de junio de 1989;Primera Division;2023;Goalkeeper;Godoy Cruz;2520;1170;1350;Argentina;28;3;0;3;0;4;0;0;28.75;3;0
Diego Ortegoza;26;Sabado, 19 de abril de 1997;Primera Division;2023;Midfielder;Talleres Cordoba;1030;450;580;Argentina;18;0;0;0;0;6;0;0;35.51;8;3
Diego Perea;20;viernes, 15 de noviembre de 2002;Primera Division;2023;Forward;San Lorenzo;156;30;126;Colombia;4;0;0;0;0;1;1;0;0.00;0;0
Diego Valentin Gomez;20;jueves, 26 de junio de 2003;Primera Division;2023;Defender;Velez Sarsfield;1388;711;677;Argentina;18;0;0;0;0;5;0;0;46.18;2;5
Diego Vasquez;22;lunes, 11 de septiembre de 2000;Primera Division;2023;Forward;Central Cordoba SdE;104;66;38;Argentina;8;0;0;0;0;0;0;0;0.00;0;0
Djorkaeff Neicer Reasco Gonzalez;24;lunes, 18 de enero de 1999;Primera Division;2023;Midfielder;Instituto;677;277;400;Ecuador;19;1;0;1;0;1;0;0;15.64;12;0
Dylan Aquino;18;Sabado, 04 de junio de 2005;Primera Division;2023;Midfielder;Lanus;8;5;3;Argentina;2;0;0;0;0;0;0;0;0.00;0;0
Dylan Gamarra;18;viernes, 18 de febrero de 2005;Primera Division;2023;Midfielder;Banfield;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Dylan Gissi;32;Sabado, 27 de abril de 1991;Primera Division;2023;Defender;Defensa y Justicia;0;0;0;Switzerland;0;0;0;0;0;0;0;0;0;0;0
Ederson Salomon Rodriguez Lima;23;miercoles, 16 de febrero de 2000;Primera Division;2023;Forward;Godoy Cruz;1930;1002;928;Uruguay;28;5;5;0;0;5;0;0.23;15.85;47;3
Edgar Joel Elizalde Ferreira;23;domingo, 27 de febrero de 2000;Primera Division;2023;Defender;Independiente;1236;650;586;Uruguay;17;0;0;0;0;5;1;0;44.71;6;11
Edilson Salinas;21;martes, 09 de julio de 2002;Primera Division;2023;Goalkeeper;Godoy Cruz;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Edinson Cavani;36;Sabado, 14 de febrero de 1987;Primera Division;2023;Forward;Boca Juniors;166;166;0;Uruguay;2;1;0;0;0;1;0;0;22.23;2;1
Edison Mauricio Duarte Barajas;31;miercoles, 24 de junio de 1992;Primera Division;2023;Defender;Central Cordoba SdE;0;0;0;Colombia;0;0;0;0;0;0;0;0;0;0;0
Edwin Cardona;30;martes, 08 de diciembre de 1992;Primera Division;2023;Midfielder;Racing Club;87;36;51;Colombia;5;0;0;0;0;1;0;0;50.69;2;1
Edwin Stiven Mosquera Palacios;22;miercoles, 27 de junio de 2001;Primera Division;2023;Forward;Defensa y Justicia;117;41;76;Colombia;5;0;0;0;0;1;0;0;12.31;2;0
Elii Mateo;23;jueves, 17 de julio de 1980;liga;2023;Midfielder;San Lorenzo;314;314;125;Argentina;35;4;0;0;0;1;0;0;50;;0.00
Elias de Jesus Baez Sotelo;18;lunes, 18 de octubre de 2004;Primera Division;2023;Midfielder;San Lorenzo;1740;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Elias Jose Gomez;29;jueves, 09 de junio de 1994;Primera Division;2023;Midfielder;Velez Sarsfield;610;205;434;Argentina;8;0;1;0;0;2;1;0.14;44.51;4;0
Elias Lautaro Cabrera;20;martes, 25 de febrero de 2003;Primera Division;2023;Forward;Velez Sarsfield;1173;502;671;Argentina;22;1;2;0;0;1;0;0.15;0.00;0;0
Emanuel Bilbao;33;viernes, 03 de noviembre de 1989;Primera Division;2023;Goalkeeper;Instituto;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Emanuel Coronel;26;Sabado, 01 de febrero de 1997;Primera Division;2023;Defender;Banfield;2049;1004;1045;Argentina;24;0;1;0;0;6;1;0.04;29.78;11;4
Emanuel Mammana;27;Sabado, 10 de febrero de 1996;Primera Division;2023;Defender;River Plate;809;269;540;Argentina;10;0;0;0;0;1;0;0;54.85;3;7
Emanuel Mariano Insua Zapata;32;miercoles, 10 de abril de 1991;Primera Division;2023;Defender;Banfield;1965;1036;929;Argentina;24;2;1;0;0;8;1;0.05;28.12;4;2
Emanuel Matias Ma;34;domingo, 15 de enero de 1989;Primera Division;2023;Defender;Colon;1068;403;665;Argentina;16;0;0;0;0;1;0;0;32.58;6;4
Emanuel Olivera;33;lunes, 02 de abril de 1990;Primera Division;2023;Defender;Banfield;1347;746;601;Argentina;16;0;1;0;0;5;0;0.07;32.47;6;11
Emiliano Daniel Saliadarre;21;domingo, 05 de mayo de 2002;Primera Division;2023;Forward;Racing Club;343;154;189;Argentina;7;0;0;0;0;0;0;0;0.00;0;0
Emiliano Insua;34;Sabado, 07 de enero de 1989;Primera Division;2023;Defender;Racing Club;827;503;324;Argentina;12;0;1;0;0;3;0;0.11;79.01;3;4
Emiliano Sebastii Viveros Mereles;20;lunes, 30 de septiembre de 2002;Primera Division;2023;Midfielder;Arsenal de Sarandi;14;0;14;Argentina;1;0;0;0;0;0;0;0;32.14;0;0
Emmanuel Francisco Gomez Riga;21;viernes, 14 de septiembre de 2001;Primera Division;2023;Goalkeeper;Velez Sarsfield;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Enrique Alberto Bologna Gomez;41;Sabado, 13 de febrero de 1982;Primera Division;2023;Goalkeeper;Defensa y Justicia;630;360;270;Argentina;7;0;0;0;0;0;0;0;27.57;0;0
Enzo Gaggi;25;miercoles, 14 de enero de 1998;Primera Division;2023;Midfielder;Godoy Cruz;19;0;19;Argentina;1;0;0;0;0;0;0;0;42.63;0;0
Enzo Herni Diaz;27;jueves, 07 de diciembre de 1995;Primera Division;2023;Midfielder;River Plate;2120;1117;1003;Argentina;25;0;2;0;0;8;0;0.08;47.89;13;5
Enzo Martin Roldi;22;viernes, 08 de diciembre de 2000;Primera Division;2023;Midfielder;Union Santa Fe;1713;954;759;Argentina;27;1;1;0;0;3;0;0.05;37.93;22;3
Enzo Maximiliano Kalinski;36;martes, 10 de marzo de 1987;Primera Division;2023;Midfielder;Central Cordoba SdE;656;292;364;Argentina;14;1;0;0;0;3;0;0;39.65;6;2
Enzo Miguel Larrosa Martinez;22;Sabado, 21 de abril de 2001;Primera Division;2023;Midfielder;Godoy Cruz;381;158;223;Uruguay;19;2;1;0;0;2;1;0.24;21.26;7;0
Enzo Nahuel Luna;21;lunes, 10 de junio de 2002;Primera Division;2023;Forward;Huracan;30;12;18;Argentina;5;0;0;0;0;0;0;0;0.00;0;0
Enzo Perez;37;Sabado, 22 de febrero de 1986;Primera Division;2023;Midfielder;River Plate;1744;978;766;Argentina;23;0;1;0;0;9;0;0.05;74.31;5;4
Enzo Rivamar;20;jueves, 16 de enero de 2003;Primera Division;2023;Midfielder;Godoy Cruz;18;0;18;Argentina;1;0;0;0;0;0;0;0;0.00;0;0
Eric Daian Remedi;28;domingo, 04 de junio de 1995;Primera Division;2023;Midfielder;Banfield;2033;1059;974;Argentina;27;0;0;0;0;8;0;0;32.20;4;4
Eric Ivi Jesus Ramirez;26;Sabado, 21 de septiembre de 1996;Primera Division;2023;Forward;Gimnasia La Plata;1267;681;586;Argentina;24;5;1;0;0;4;0;0.07;18.11;41;1
Eric Meza;24;jueves, 08 de abril de 1999;Primera Division;2023;Defender;Colon;1907;1027;880;Argentina;27;2;3;0;0;2;0;0.14;0.00;0;0
Erik Fernando Godoy;30;lunes, 16 de agosto de 1993;Primera Division;2023;Defender;Belgrano;1455;684;771;Argentina;17;0;1;0;0;3;1;0.06;39.09;2;11
Eros Nazareno Mancuso;24;Sabado, 17 de abril de 1999;Primera Division;2023;Defender;Estudiantes;843;432;411;Argentina;14;1;0;0;0;2;0;0;36.63;8;2
Esteban Lucero;18;viernes, 29 de julio de 2005;Primera Division;2023;Defender;Defensa y Justicia;79;0;79;Argentina;1;0;0;0;0;0;0;0;0.00;0;0
Esteban Rolon;28;Sabado, 25 de marzo de 1995;Primera Division;2023;Midfielder;Boca Juniors;200;93;107;Argentina;8;0;0;0;0;1;1;0;67.05;0;0
Exequiel Zeballos;21;miercoles, 24 de abril de 2002;Primera Division;2023;Forward;Boca Juniors;352;216;136;Argentina;9;2;2;0;0;0;0;0.51;26.73;10;0
Ezequiel Augusto Bonifacio;29;lunes, 09 de mayo de 1994;Primera Division;2023;Defender;Banfield;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Ezequiel Barco;24;lunes, 29 de marzo de 1999;Primera Division;2023;Midfielder;River Plate;1681;844;837;Argentina;28;6;4;4;1;2;0;0.21;54.18;35;1
Ezequiel Bullaude;22;jueves, 26 de octubre de 2000;Primera Division;2023;Forward;Boca Juniors;30;30;0;Argentina;1;0;0;0;0;0;0;0;54.00;0;0
Ezequiel Centurion;26;martes, 20 de mayo de 1997;Primera Division;2023;Goalkeeper;River Plate;90;0;90;Argentina;1;0;0;0;0;1;1;0;29.00;0;0
Ezequiel Cerutti;31;viernes, 17 de enero de 1992;Primera Division;2023;Forward;San Lorenzo;628;342;286;Argentina;15;0;0;0;0;2;0;0;20.35;5;0
Ezequiel Fernidez;21;jueves, 25 de julio de 2002;Primera Division;2023;Midfielder;Boca Juniors;1155;791;364;Argentina;21;0;0;0;0;7;2;0;72.83;9;2
Ezequiel Forclaz;20;jueves, 03 de abril de 2003;Primera Division;2023;Midfielder;Tigre;203;143;60;Argentina;9;0;1;0;0;2;0;0.44;44.33;3;2
Ezequiel Herrera;20;miercoles, 22 de enero de 2003;Primera Division;2023;Defender;San Lorenzo;135;0;135;Argentina;2;0;0;0;0;1;0;0;0.00;0;0
Ezequiel Muñoz;32;lunes, 08 de octubre de 1990;Primera Division;2023;Defender;Estudiantes;253;90;163;Argentina;5;0;0;0;0;0;0;0;38.77;0;2
Ezequiel Orbe;18;Sabado, 09 de abril de 2005;Primera Division;2023;Defender;Estudiantes;90;90;0;Argentina;1;0;0;0;0;0;0;0;0.00;0;0
Fabii Bordagaray;36;domingo, 15 de febrero de 1987;Primera Division;2023;Forward;Belgrano;229;31;198;Argentina;10;0;1;0;0;1;0;0.39;35.37;3;0
Fabio Enrique Alvarez;30;Sabado, 23 de enero de 1993;Primera Division;2023;Forward;Colon;317;105;212;Argentina;9;0;0;0;0;0;0;0;58.46;3;0
Fabio Jesus Pereyra;33;miercoles, 31 de enero de 1990;Primera Division;2023;Defender;Huracan;2449;1279;1170;Argentina;29;0;0;0;0;7;0;0;36.38;25;33
Fabricio Amato;19;viernes, 04 de junio de 2004;Primera Division;2023;Midfielder;Estudiantes;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Fabricio Dominguez;25;miercoles, 24 de junio de 1998;Primera Division;2023;Midfielder;Argentinos Juniors;808;426;382;Uruguay;21;0;2;0;0;5;0;0.22;0.00;0;0
Fabricio iacovich;21;martes, 29 de enero de 2002;Primera Division;2023;Goalkeeper;Estudiantes;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Fabricio Oviedo;19;jueves, 12 de febrero de 2004;Primera Division;2023;Forward;Rosario Central;194;132;62;Argentina;4;1;0;0;0;0;0;0;0.00;0;0
Fabrizio Sartori Prieto;21;lunes, 15 de julio de 2002;Primera Division;2023;Forward;Newell's Old Boys;9;0;9;Argentina;1;0;0;0;0;0;0;0;0.00;0;0
Facundo Aguero;28;Sabado, 21 de enero de 1995;Primera Division;2023;Defender;Rosario Central;123;13;110;Argentina;5;0;0;0;0;0;0;0;43.90;0;0
Facundo Altamirano;27;jueves, 21 de marzo de 1996;Primera Division;2023;Goalkeeper;San Lorenzo;450;180;270;Argentina;5;0;0;0;0;1;0;0;24.60;0;0
Facundo Benjamin Schamine;19;viernes, 24 de octubre de 2003;Primera Division;2023;Midfielder;Defensa y Justicia;146;0;146;Argentina;3;0;1;0;0;1;0;0.62;0.00;0;0
Facundo Castelli;28;Sabado, 18 de febrero de 1995;Primera Division;2023;Forward;Central Cordoba SdE;866;488;378;Argentina;18;1;2;0;1;3;0;0.21;17.04;14;1
Facundo Colidio;23;martes, 04 de enero de 2000;Primera Division;2023;Forward;River Plate;1816;889;927;Argentina;24;2;3;1;0;1;0;0.15;29.83;46;0
Facundo Echevarria;21;miercoles, 31 de julio de 2002;Primera Division;2023;Midfielder;Defensa y Justicia;42;6;36;Argentina;2;1;0;0;0;0;0;0;23.57;1;0
Facundo Farias;21;miercoles, 28 de agosto de 2002;Primera Division;2023;Midfielder;Colon;456;195;261;Argentina;8;0;1;0;1;1;0;0.2;29.06;6;0
Facundo Ferreyra;32;jueves, 14 de marzo de 1991;Primera Division;2023;Forward;Argentinos Juniors;187;89;98;Argentina;7;0;1;0;0;2;0;0.48;30.80;5;0
Facundo Gutierrez;26;martes, 03 de junio de 1997;Primera Division;2023;Midfielder;Defensa y Justicia;1977;1084;893;Argentina;24;1;3;0;0;7;2;0.14;53.40;9;5
Facundo Lencioni;22;miercoles, 14 de febrero de 2001;Primera Division;2023;Forward;Belgrano;263;174;89;Argentina;4;0;0;0;0;1;0;0;0.00;0;0
Facundo Mallo Blanco;28;lunes, 16 de enero de 1995;Primera Division;2023;Defender;Rosario Central;2610;1350;1260;Uruguay;29;0;1;0;0;9;0;0.03;33.66;10;20
Facundo Martin Taborda;22;martes, 16 de enero de 2001;Primera Division;2023;Forward;Colon;12;12;0;Argentina;2;0;0;0;0;0;0;0;0.00;0;0
Facundo Mater;25;jueves, 23 de julio de 1998;Primera Division;2023;Midfielder;Barracas Central;2161;1006;1155;Argentina;27;3;4;0;0;4;0;0.17;30.16;20;1
Facundo Mura;24;miercoles, 24 de marzo de 1999;Primera Division;2023;Defender;Racing Club;1535;779;756;Argentina;21;2;2;0;0;5;0;0.12;42.80;7;4
Facundo Nicola Cambeses;26;miercoles, 09 de abril de 1997;Primera Division;2023;Goalkeeper;Banfield;2700;1350;1350;Argentina;30;0;1;0;0;2;0;0.03;19.67;1;0
Facundo Odello;20;lunes, 21 de abril de 2003;Primera Division;2023;Defender;Defensa y Justicia;0;0;0;Afghanistan;0;0;0;0;0;0;0;0;0;0;0
Facundo Omar Cardozo;28;jueves, 06 de abril de 1995;Primera Division;2023;Defender;Arsenal de Sarandi;789;360;429;Argentina;11;0;0;0;0;2;0;0;42.16;7;3
Facundo Pons;27;miercoles, 22 de noviembre de 1995;Primera Division;2023;Forward;Arsenal de Sarandi;1025;577;448;Argentina;19;2;1;1;0;7;0;0.09;22.68;19;1
Facundo Roncaglia;36;martes, 10 de febrero de 1987;Primera Division;2023;Defender;Boca Juniors;1055;381;674;Argentina;16;0;0;0;0;3;0;0;54.68;4;9
Facundo Russo;23;domingo, 03 de septiembre de 2000;Primera Division;2023;Midfielder;Platense;16;16;0;Argentina;1;0;0;0;0;0;0;0;28.12;0;0
Facundo Sanguinetti;22;jueves, 01 de marzo de 2001;Primera Division;2023;Goalkeeper;Banfield;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Facundo Toma Garces;24;domingo, 05 de septiembre de 1999;Primera Division;2023;Defender;Colon;2610;1260;1350;Argentina;29;1;0;0;0;7;0;0;36.34;14;17
Faustino Marcos Alberto Rojo;33;martes, 20 de marzo de 1990;Primera Division;2023;Defender;Boca Juniors;89;89;0;Argentina;2;0;0;0;0;0;0;0;74.83;0;0
Federico Aguirre;21;lunes, 22 de abril de 2002;Primera Division;2023;Forward;Boca Juniors;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Federico Andres Mancuello;34;domingo, 26 de marzo de 1989;Primera Division;2023;Midfielder;Independiente;247;172;75;Argentina;3;0;0;0;0;0;0;0;32.79;5;1
Federico Fattori Mouzo;31;miercoles, 22 de julio de 1992;Primera Division;2023;Midfielder;Huracan;1653;882;771;Argentina;20;0;1;0;0;2;0;0.05;61.09;4;4
Federico Fernidez;34;martes, 21 de febrero de 1989;Primera Division;2023;Defender;Estudiantes;125;90;35;Argentina;2;0;0;0;0;0;0;0;48.24;1;0
Federico Florentin;21;miercoles, 08 de mayo de 2002;Primera Division;2023;Midfielder;Barracas Central;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Federico Gattoni;24;martes, 16 de febrero de 1999;Primera Division;2023;Defender;San Lorenzo;1710;900;810;Argentina;19;1;1;0;0;4;0;0.05;38.84;16;9
Federico Girotti;24;miercoles, 02 de junio de 1999;Primera Division;2023;Forward;San Lorenzo;108;31;77;Argentina;3;0;0;0;0;0;0;0;20.57;1;0
Federico Gomes Gerth;19;viernes, 05 de marzo de 2004;Primera Division;2023;Goalkeeper;Tigre;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Federico Jourdan;32;domingo, 13 de enero de 1991;Primera Division;2023;Midfielder;Central Cordoba SdE;406;310;96;Argentina;13;0;1;0;0;2;0;0.22;23.28;5;0
Federico Lanzillotta;30;martes, 01 de diciembre de 1992;Primera Division;2023;Goalkeeper;Argentinos Juniors;1260;630;630;Argentina;14;0;0;0;0;1;0;0;26.93;0;0
Federico Rasmussen;31;miercoles, 04 de marzo de 1992;Primera Division;2023;Defender;Godoy Cruz;2520;1260;1260;Argentina;28;0;1;0;0;4;0;0.04;36.07;8;21
Federico Redondo;20;Sabado, 18 de enero de 2003;Primera Division;2023;Midfielder;Argentinos Juniors;1544;790;754;Argentina;24;1;1;0;0;5;1;0.06;0.00;0;0
Federico Vera;25;martes, 24 de marzo de 1998;Primera Division;2023;Defender;Union Santa Fe;2172;1121;1051;Argentina;27;0;3;0;0;9;0;0.12;26.50;11;9
Federico Versaci;21;Sabado, 16 de febrero de 2002;Primera Division;2023;Forward;Defensa y Justicia;140;0;140;Argentina;2;0;0;0;0;0;0;0;19.29;0;0
Felipe Aguilar Mendoza;30;miercoles, 20 de enero de 1993;Primera Division;2023;Defender;Independiente;1265;581;684;Colombia;16;0;0;0;0;4;0;0;44.54;4;7
Felipe Peña Biafore;22;jueves, 05 de abril de 2001;Primera Division;2023;Defender;Lanus;2106;1085;1021;Argentina;28;0;1;0;0;5;0;0.04;40.41;10;10
Felipe San Juan;22;Sabado, 23 de junio de 2001;Primera Division;2023;Goalkeeper;Newell's Old Boys;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Felipe Sanchez;19;miercoles, 07 de abril de 2004;Primera Division;2023;Defender;Gimnasia La Plata;2504;1260;1244;Argentina;28;0;0;0;0;8;0;0;0.00;0;0
Fernando Andres Prado Avelino;22;miercoles, 21 de marzo de 2001;Primera Division;2023;Defender;Barracas Central;665;283;382;Uruguay;10;0;0;0;0;0;0;0;34.75;0;2
Fernando Gabriel Godoy;33;martes, 01 de mayo de 1990;Primera Division;2023;Midfielder;Huracan;641;168;473;Argentina;10;0;0;0;0;2;1;0;47.74;0;3
Fernando Ivan Rodriguez;22;jueves, 05 de octubre de 2000;Primera Division;2023;Defender;Rosario Central;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Fernando Martinez Rojas;29;viernes, 13 de mayo de 1994;Primera Division;2023;Midfielder;Sarmiento;1508;724;784;Paraguay;22;0;1;0;0;6;0;0.06;28.11;9;11
Fernando Monetti;34;martes, 21 de febrero de 1989;Primera Division;2023;Goalkeeper;Sarmiento;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Fernando Ruben Alarcon;29;jueves, 16 de junio de 1994;Primera Division;2023;Defender;Instituto;2610;1260;1350;Argentina;29;0;1;0;0;9;0;0.03;36.32;13;15
Fernando Sebastii Da Rosa;22;lunes, 02 de abril de 2001;Primera Division;2023;Defender;Independiente;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Fernando Torrent Guidi;31;miercoles, 02 de octubre de 1991;Primera Division;2023;Midfielder;Huracan;696;351;345;Argentina;10;0;1;0;0;2;0;0.13;29.87;3;2
Fernando Zuqui;31;miercoles, 27 de noviembre de 1991;Primera Division;2023;Midfielder;Estudiantes;1626;769;857;Argentina;27;0;4;0;0;7;0;0.22;45.73;15;7
Flabii Londoño Bedoya;23;domingo, 09 de julio de 2000;Primera Division;2023;Forward;Arsenal de Sarandi;1225;618;607;Colombia;24;2;0;0;0;5;1;0;0.00;0;0
Francesco Lo Celso;23;domingo, 05 de marzo de 2000;Primera Division;2023;Midfielder;Rosario Central;139;49;90;Argentina;5;0;0;0;0;0;0;0;47.27;1;0
Francis Manuel Mac Allister;27;lunes, 30 de octubre de 1995;Primera Division;2023;Midfielder;Rosario Central;1247;648;599;Argentina;19;1;2;0;0;6;0;0.14;44.93;5;3
Francisco Agustin Gualtieri;20;lunes, 17 de marzo de 2003;Primera Division;2023;Goalkeeper;Talleres Cordoba;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Francisco Alvarez;23;Sabado, 26 de febrero de 2000;Primera Division;2023;Defender;Barracas Central;2523;1260;1263;Argentina;29;5;0;0;0;1;0;0;37.73;23;13
Francisco Di Franco;28;Sabado, 28 de enero de 1995;Primera Division;2023;Forward;Atletico Tucuman;486;208;278;Argentina;18;0;0;0;0;4;0;0;32.76;1;2
Francisco Facello;20;Sabado, 11 de enero de 2003;Primera Division;2023;Defender;Belgrano;24;23;1;Argentina;3;0;0;0;0;0;0;0;0.00;0;0
Francisco Gonzalez;22;viernes, 06 de abril de 2001;Primera Division;2023;Forward;Newell's Old Boys;158;68;90;Argentina;2;1;1;0;0;0;0;0.57;11.39;2;0
Francisco Gonzalez Metilli;26;Sabado, 29 de marzo de 1997;Primera Division;2023;Midfielder;Argentinos Juniors;1819;1031;788;Argentina;28;5;3;0;0;2;0;0.15;30.58;30;2
Francisco Guillermo Marco;20;viernes, 27 de junio de 2003;Primera Division;2023;Defender;Defensa y Justicia;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Francisco Javier Oliver;28;martes, 30 de mayo de 1995;Primera Division;2023;Defender;Belgrano;101;15;86;Argentina;4;0;0;0;0;0;0;0;24.06;0;0
Francisco Joel Gerometta;24;miercoles, 01 de septiembre de 1999;Primera Division;2023;Defender;Union Santa Fe;503;204;299;Argentina;16;0;0;0;0;1;0;0;32.56;3;1
Francisco Jose Pozzo;20;martes, 15 de julio de 2003;Primera Division;2023;Forward;Talleres Cordoba;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Francisco Ortega;24;viernes, 19 de marzo de 1999;Primera Division;2023;Midfielder;Velez Sarsfield;2234;1170;1064;Argentina;25;1;1;0;0;3;1;0.04;39.42;8;6
Francisco Perruzzi;22;viernes, 09 de febrero de 2001;Primera Division;2023;Midfielder;San Lorenzo;441;255;186;Argentina;10;0;0;0;0;2;0;0;30.41;0;0
Francisco Pizzini;29;domingo, 19 de septiembre de 1993;Primera Division;2023;Forward;Velez Sarsfield;1399;808;591;Argentina;25;3;3;0;0;2;0;0.19;30.97;13;4
Franco Agustin Quinteros;24;martes, 13 de octubre de 1998;Primera Division;2023;Midfielder;Banfield;553;204;349;Argentina;10;0;0;0;0;3;0;0;20.99;3;7
Franco Agustin Vega;21;domingo, 09 de septiembre de 2001;Primera Division;2023;Midfielder;Arsenal de Sarandi;379;193;186;Argentina;12;0;0;0;0;0;0;0;0.00;0;0
Franco Alfonso;21;Sabado, 04 de mayo de 2002;Primera Division;2023;Midfielder;Huracan;252;123;129;Argentina;8;0;1;0;0;1;0;0.36;0.00;0;0
Franco Armani;36;jueves, 16 de octubre de 1986;Primera Division;2023;Goalkeeper;River Plate;2610;1260;1350;Argentina;29;0;0;0;0;1;0;0;18.97;0;0
Franco Baldassarra;24;martes, 29 de septiembre de 1998;Primera Division;2023;Midfielder;Platense;1033;506;527;Argentina;22;2;1;0;0;3;0;0.09;22.71;16;2
Franco Calderon;25;miercoles, 13 de mayo de 1998;Primera Division;2023;Defender;Union Santa Fe;2241;1170;1071;Argentina;25;0;0;0;0;9;1;0;33.22;9;17
Franco Daniel Jara;35;viernes, 15 de julio de 1988;Primera Division;2023;Forward;Belgrano;907;452;455;Argentina;20;1;1;0;0;3;1;0.1;18.46;12;0
Franco Diaz;23;lunes, 28 de agosto de 2000;Primera Division;2023;Midfielder;Platense;1373;677;696;Argentina;26;1;0;0;0;7;0;0;37.17;12;4
Franco Farias;21;domingo, 17 de marzo de 2002;Primera Division;2023;Midfielder;Barracas Central;181;133;48;Argentina;6;1;0;0;0;0;0;0;0.00;0;0
