full_name;name;last_name;current_club;nationality;goals_overall;assists_overall
Franco Petroli;Franco;Petroli;River Plate;Argentina;0;0
Franco Saavedra;Franco;Saavedra;Talleres Cordoba;Argentina;0;0
Franco Sbuttoni;Franco;Sbuttoni;Sarmiento;Argentina;0;0
Franco Sergio Martinez;Franco;Sergio Martinez;Arsenal de Sarandi;Argentina;0;0
Franco Soldano;Franco;Soldano;Gimnasia La Plata;Argentina;1;2
Franco Troyansky;Franco;Troyansky;Lanus;Argentina;5;1
Franco Watson;Franco;Watson;Instituto;Argentina;0;2
Franco Zapiola;Franco;Zapiola;Estudiantes;Argentina;0;2
Frank Fabra;Frank;Fabra;Boca Juniors;Colombia;0;1
Gabriel Agustin Hauche;Gabriel;Agustin Hauche;Racing Club;Argentina;6;3
Gabriel Alanis;Gabriel;Alanis;Defensa y Justicia;Argentina;1;0
Gabriel Alejandro Gudiño;Gabriel;Alejandro Gudiño;Platense;Argentina;3;0
Gabriel Aranda;Gabriel;Aranda;Boca Juniors;Argentina;0;0
Gabriel Arias;Gabriel;Arias;Racing Club;Argentina;0;0
Gabriel Avalos;Gabriel;Avalos;Argentinos Juniors;Paraguay;14;2
Gabriel Carlos Compagnucci;Gabriel;Carlos Compagnucci;Belgrano;Argentina;0;1
Gabriel Diaz;Gabriel;Diaz;Sarmiento;Argentina;2;1
Gabriel Herni Rojas;Gabriel;Herni Rojas;Racing Club;Argentina;1;1
Gabriel Maximiliano Graciani;Gabriel;Maximiliano Graciani;Instituto;Argentina;3;4
Gaspar Andres Servio;Gaspar;Andres Servio;Rosario Central;Argentina;0;0
Gaston Alan Hernidez;Gaston;Alan Hernidez;San Lorenzo;Argentina;1;0
Gaston Alberto Togni;Gaston;Alberto Togni;Defensa y Justicia;Argentina;3;5
Gaston Americo Benavidez;Gaston;Americo Benavidez;Talleres Cordoba;Argentina;1;3
Gaston Andres Lodico;Gaston;Andres Lodico;Instituto;Argentina;1;3
Gaston Benedetti Taffarel;Gaston;Benedetti Taffarel;Estudiantes;Argentina;2;1
Gaston Claudio Corvali;Gaston;Claudio Corvali;Union Santa Fe;Argentina;0;1
Gaston Comas;Gaston;Comas;Union Santa Fe;Argentina;0;0
Gaston Gomez;Gaston;Gomez;Velez Sarsfield;Argentina;0;0
Gaston Matias Campi;Gaston;Matias Campi;San Lorenzo;Argentina;0;0
Gaston Pedernera;Gaston;Pedernera;Godoy Cruz;Argentina;0;0
Gaston Ramirez;Gaston;Ramirez;San Lorenzo;Uruguay;0;1
Gaston Sauro;Gaston;Sauro;Huracan;Argentina;0;0
Gaston Suso;Gaston;Suso;Platense;Argentina;1;0
Gaston Veron;Gaston;Veron;Argentinos Juniors;Argentina;0;0
Genaro Ariel Rossi;Genaro;Ariel Rossi;Newell's Old Boys;Argentina;0;0
Germi Andres Conti;Germi;Andres Conti;Colon;Argentina;0;0
Germi Guiffrey;Germi;Guiffrey;Gimnasia La Plata;Argentina;0;0
Geronimo Rivera;Geronimo;Rivera;Banfield;Argentina;1;1
Geronimo Tomasetti;Geronimo;Tomasetti;Belgrano;Argentina;0;0
Gian Nardelli;Gian;Nardelli;Colon;Argentina;0;0
Gianluca Ferrari;Gianluca;Ferrari;Godoy Cruz;Argentina;0;1
Gianluca Prestianni Gross;Gianluca;Prestianni Gross;Velez Sarsfield;Argentina;2;0
Gino Infantino;Gino;Infantino;Rosario Central;Argentina;1;1
Gino Olguin;Gino;Olguin;Central Cordoba SdE;Argentina;0;0
Giovanni Emmanuel Bogado Duarte;Giovanni;Emmanuel Bogado Duarte;Rosario Central;Paraguay;0;0
Giuliano Cerato;Giuliano;Cerato;Instituto;Argentina;0;0
Gonzalo Agustin Piñeiro;Gonzalo;Agustin Piñeiro;Estudiantes;Argentina;0;0
Gonzalo Agustin Sidez;Gonzalo;Agustin Sidez;Rosario Central;Argentina;0;0
Gonzalo Alves;Gonzalo;Alves;Central Cordoba SdE;Argentina;0;1
Gonzalo Asis;Gonzalo;Asis;Platense;Argentina;0;0
Gonzalo Bettini;Gonzalo;Bettini;Sarmiento;Argentina;1;0
Gonzalo Damii Abrego;Gonzalo;Damii Abrego;Godoy Cruz;Argentina;3;1
Gonzalo Emanuel Muscia;Gonzalo;Emanuel Muscia;Arsenal de Sarandi;Argentina;0;0
Gonzalo Escudero;Gonzalo;Escudero;Racing Club;Argentina;0;0
Gonzalo Ezequiel Paz;Gonzalo;Ezequiel Paz;Atletico Tucuman;Argentina;0;0
Gonzalo Javier Morales;Gonzalo;Javier Morales;Union Santa Fe;Argentina;4;0
Gonzalo Joaquin Gonzalez;Gonzalo;Joaquin Gonzalez;Gimnasia La Plata;Argentina;0;0
Gonzalo Jorge Alberto Silva;Gonzalo;Jorge Alberto Silva;Colon;Argentina;0;0
Gonzalo Luji Melli;Gonzalo;Luji Melli;San Lorenzo;Argentina;0;0
Gonzalo Marinelli;Gonzalo;Marinelli;Tigre;Argentina;0;0
Gonzalo Maroni;Gonzalo;Maroni;San Lorenzo;Argentina;1;2
Gonzalo Nahuel Flores;Gonzalo;Nahuel Flores;Tigre;Argentina;0;0
Gonzalo Pablo Castellani;Gonzalo;Pablo Castellani;Defensa y Justicia;Argentina;0;0
Gonzalo Requena;Gonzalo;Requena;Instituto;Argentina;0;0
Gonzalo Ruben Piovi;Gonzalo;Ruben Piovi;Racing Club;Argentina;5;1
Gonzalo Valdivia;Gonzalo;Valdivia;Platense;Argentina;1;0
Gregorio Rodriguez;Gregorio;Rodriguez;Instituto;Argentina;0;0
Guido Herrera;Guido;Herrera;Talleres Cordoba;Argentina;0;0
Guido Mainero;Guido;Mainero;Sarmiento;Argentina;0;0
Guido Marcelo Carrillo;Guido;Marcelo Carrillo;Estudiantes;Argentina;1;0
Guido Villar;Guido;Villar;Barracas Central;Argentina;0;0
Guillermo Balzi;Guillermo;Balzi;Newell's Old Boys;Argentina;0;0
Guillermo Enrique;Guillermo;Enrique;Gimnasia La Plata;Argentina;1;1
Guillermo Fabii Pereira;Guillermo;Fabii Pereira;Belgrano;Argentina;1;0
Guillermo Federico Gonzalvez;Guillermo;Federico Gonzalvez;Colon;Argentina;0;0
Guillermo Gaston Acosta;Guillermo;Gaston Acosta;Atletico Tucuman;Argentina;0;2
Guillermo Luis Ortiz;Guillermo;Luis Ortiz;Newell's Old Boys;Argentina;1;0
Guillermo Matias Fernandez;Guillermo;Matias Fernandez;Boca Juniors;Argentina;2;2
Guillermo Soto;Guillermo;Soto;Huracan;Chile;0;0
Gustavo Damii Canto;Gustavo;Damii Canto;Central Cordoba SdE;Argentina;0;0
Harrinson Mancilla Mulato;Harrinson;Mancilla Mulato;Sarmiento;Colombia;0;0
Hector David Martinez;Hector;David Martinez;River Plate;Argentina;0;0
Hector Fertoli;Hector;Fertoli;Huracan;Argentina;0;1
Hector Jona Acevedo;Hector;Jona Acevedo;Instituto;Argentina;0;1
Herni De La Fuente;Herni;De La Fuente;Atletico Tucuman;Argentina;0;0
Herni Lopez Muñoz;Herni;Lopez Muñoz;Godoy Cruz;Argentina;4;3
Horacio Gabriel Tijanovich;Horacio;Gabriel Tijanovich;Banfield;Argentina;0;0
Ibrahim Hesar;Ibrahim;Hesar;Belgrano;Argentina;0;0
Ignacio Agustin Rodriguez;Ignacio;Agustin Rodriguez;Banfield;Argentina;0;0
Ignacio Cechi;Ignacio;Cechi;Lanus;Argentina;0;0
Ignacio Francisco Chicco;Ignacio;Francisco Chicco;Colon;Argentina;0;0
Ignacio Galvi;Ignacio;Galvi;Racing Club;Argentina;0;0
Ignacio Gariglio;Ignacio;Gariglio;Arsenal de Sarandi;Argentina;0;0
Ignacio Maestro Puch;Ignacio;Maestro Puch;Atletico Tucuman;Argentina;0;0
Ignacio Mauricio Jesus Arce;Ignacio;Mauricio Jesus Arce;Platense;Argentina;0;0
Ignacio Miramon;Ignacio;Miramon;Gimnasia La Plata;Argentina;0;0
Ignacio Pussetto;Ignacio;Pussetto;Huracan;Argentina;0;0
Ignacio Schor;Ignacio;Schor;Newell's Old Boys;Argentina;0;1
Ignacio Tapia;Ignacio;Tapia;Belgrano;Argentina;0;0
Ignacio Vazquez;Ignacio;Vazquez;Platense;Argentina;0;1
Ijiel Cesar Protti;Ijiel;Cesar Protti;Tigre;Argentina;0;0
Imanol Machuca;Imanol;Machuca;Union Santa Fe;Argentina;4;1
Ismael Cortez;Ismael;Cortez;Rosario Central;Argentina;0;0
Ivi Alexis Pillud;Ivi;Alexis Pillud;Racing Club;Argentina;1;1
Ivi Cabrera;Ivi;Cabrera;Arsenal de Sarandi;Argentina;0;0
Ivan Glavinovich;Ivan;Glavinovich;Newell's Old Boys;Argentina;0;0
Ivi Gomez;Ivi;Gomez;Newell's Old Boys;Argentina;0;2
Ivi Jose Marcone;Ivi;Jose Marcone;Independiente;Argentina;0;0
Ivan Leguizamon;Ivan;Leguizamon;San Lorenzo;Argentina;2;0
Ivi Ortigoza;Ivi;Ortigoza;Belgrano;Argentina;0;0
Ivi Ramirez;Ivi;Ramirez;Belgrano;Argentina;0;0
Ivi Rossi;Ivi;Rossi;Platense;Argentina;0;0
Ivi Tapia;Ivi;Tapia;Barracas Central;Argentina;4;6
Ivi Valenzuela;Ivi;Valenzuela;Huracan;Argentina;0;0
Ivo Mammini;Ivo;Mammini;Gimnasia La Plata;Argentina;2;0
Jabes Esteban Saralegui;Jabes;Esteban Saralegui;Boca Juniors;Argentina;0;0
Jalil Juan Jose Elias;Jalil;Juan Jose Elias;San Lorenzo;Argentina;2;1
Jaminton Leandro Campaz;Jaminton;Leandro Campaz;Rosario Central;Colombia;4;5
Javier Cabrera;Javier;Cabrera;Argentinos Juniors;Uruguay;0;3
Javier Fabii Toledo;Javier;Fabii Toledo;Colon;Argentina;4;2
Javier Herni Garcia;Javier;Herni Garcia;Boca Juniors;Argentina;0;0
Javier Nicola Vallejo;Javier;Nicola Vallejo;Independiente;Argentina;1;0
Javier Patricio Ostachuk;Javier;Patricio Ostachuk;Independiente;Argentina;0;0
Javier Vallejos;Javier;Vallejos;Central Cordoba SdE;Argentina;0;0
Jean Pierre Rosso Genova;Jean;Pierre Rosso Genova;Sarmiento;Uruguay;0;1
Jeffrey Catriel Cabellos Vazquez;Jeffrey;Catriel Cabellos Vazquez;Racing Club;Peru;0;1
Jeremias James;Jeremias;James;San Lorenzo;Argentina;0;0
Jeremias Perez Tica;Jeremias;Perez Tica;Newell's Old Boys;Argentina;0;2
Jeronimo Cacciabue;Jeronimo;Cacciabue;Platense;Argentina;0;0
Jeronimo Domina;Jeronimo;Domina;Union Santa Fe;Argentina;3;2
Jeronimo Russo;Jeronimo;Russo;Newell's Old Boys;Argentina;0;0
Jesus Miguel Soraire;Jesus;Miguel Soraire;Banfield;Argentina;2;0
Jherson Steven Mosquera Castro;Jherson;Steven Mosquera Castro;Newell's Old Boys;Colombia;2;0
Joaquin Ariel Novillo;Joaquin;Ariel Novillo;Huracan;Argentina;0;0
Joaquin Avila;Joaquin;Avila;Atletico Tucuman;Argentina;0;0
Joaquin Bautista Ibiañez;Joaquin;Bautista Ibiañez;Colon;Argentina;1;0
Joaquin Blazquez;Joaquin;Blazquez;Platense;Argentina;0;0
Joaquin Cabrera;Joaquin;Cabrera;Sarmiento;Argentina;0;0
Joaquin Conrado Enrico;Joaquin;Conrado Enrico;Colon;Argentina;0;0
Joaquin Gho;Joaquin;Gho;Sarmiento;Argentina;0;0
Joaquin Laso;Joaquin;Laso;Independiente;Argentina;0;0
Joaquin Mosqueira;Joaquin;Mosqueira;Union Santa Fe;Argentina;1;0
Joaquin Nicola Pereyra;Joaquin;Nicola Pereyra;Atletico Tucuman;Argentina;1;3
Joaquin Silvio Messi;Joaquin;Silvio Messi;Newell's Old Boys;Argentina;0;0
Joaquin Susvielles;Joaquin;Susvielles;Barracas Central;Argentina;0;0
Joaquin Varela Romero;Joaquin;Varela Romero;Instituto;Uruguay;2;0
Joel Gonzalez;Joel;Gonzalez;Independiente;Argentina;0;0
Joel Soñora;Joel;Soñora;Huracan;USA;0;0
Johan Stiven Carbonero Balanta;Johan;Stiven Carbonero Balanta;Racing Club;Colombia;0;0
Jonatan Gomez;Jonatan;Gomez;Racing Club;Argentina;2;1
Jonatan Maidana;Jonatan;Maidana;River Plate;Argentina;0;0
Jonathan Beron;Jonathan;Beron;Defensa y Justicia;Argentina;0;0
Jonathan Dellarossa;Jonathan;Dellarossa;Instituto;Argentina;0;0
Jonathan Diego Menendez;Jonathan;Diego Menendez;Newell's Old Boys;Argentina;0;0
Jonathan Galvi;Jonathan;Galvi;Argentinos Juniors;Argentina;0;1
Jonathan Raccio;Jonathan;Raccio;Argentinos Juniors;Argentina;0;0
Jonathan Torres;Jonathan;Torres;Lanus;Argentina;0;0
Jorge Carlos Carranza;Jorge;Carlos Carranza;Instituto;Argentina;0;0
Jorge Daniel Benitez Guillen;Jorge;Daniel Benitez Guillen;Colon;Paraguay;3;0
Jorge Eduardo Recalde Ramirez;Jorge;Eduardo Recalde Ramirez;Newell's Old Boys;Paraguay;6;1
Jorge Emanuel Broun;Jorge;Emanuel Broun;Rosario Central;Argentina;0;0
Jorge Nicola Figal;Jorge;Nicola Figal;Boca Juniors;Argentina;3;0
Jorge Rodriguez;Jorge;Rodriguez;Estudiantes;Argentina;2;2
Jorman David Campuzano Puentes;Jorman;David Campuzano Puentes;Boca Juniors;Colombia;0;0
Jose Amado Gomez;Jose;Amado Gomez;Central Cordoba SdE;Argentina;0;0
Jose Antonio Devecchi;Jose;Antonio Devecchi;Sarmiento;Argentina;0;0
Jose David Romero;Jose;David Romero;Talleres Cordoba;Argentina;2;2
Jose Ernesto Sosa;Jose;Ernesto Sosa;Estudiantes;Argentina;2;3
Jose Gustavo Sand;Jose;Gustavo Sand;Lanus;Argentina;2;0
Jose Ignacio Florentin Bobadilla;Jose;Ignacio Florentin Bobadilla;Velez Sarsfield;Paraguay;1;0
Jose Maria Canale Dominguez;Jose;Maria Canale Dominguez;Lanus;Paraguay;1;2
Jose Maria Herrera;Jose;Maria Herrera;Argentinos Juniors;Argentina;0;0
Jose Mauri;Jose;Mauri;Sarmiento;Italy;0;0
Jose Paradela;Jose;Paradela;Tigre;Argentina;2;1
Jose Ramiro Funes Mori;Jose;Ramiro Funes Mori;River Plate;Argentina;0;0
Juan Andrada;Juan;Andrada;Godoy Cruz;Argentina;0;0
Juan Andres Meli;Juan;Andres Meli;Central Cordoba SdE;Argentina;0;0
Juan Barinaga;Juan;Barinaga;Belgrano;Argentina;1;1
Juan Bautista Miritello;Juan;Bautista Miritello;Defensa y Justicia;Argentina;3;0
Juan Bisanz;Juan;Bisanz;Banfield;Argentina;4;1
Juan Bizans;Juan;Bizans;Banfield;Argentina;2;0
Juan Carlos Gauto;Juan;Carlos Gauto;Huracan;Argentina;1;4
Juan Cruz Cerrudo;Juan;Cruz Cerrudo;Rosario Central;Argentina;0;0
Juan Cruz Esquivel;Juan;Cruz Esquivel;Tigre;Argentina;0;0
Juan Cruz Guasone;Juan;Cruz Guasone;Estudiantes;Argentina;0;0
Juan Cruz Kaprof;Juan;Cruz Kaprof;Sarmiento;Argentina;0;0
Juan Cruz Komar;Juan;Cruz Komar;Rosario Central;Argentina;1;0
Juan Cuesta;Juan;Cuesta;Arsenal de Sarandi;Colombia;0;0
Juan Edgardo Ramirez;Juan;Edgardo Ramirez;Boca Juniors;Argentina;0;0
Juan Emanuel Hernidez Rodriguez;Juan;Emanuel Hernidez Rodriguez;Sarmiento;Uruguay;0;1
Juan Fernando Garro;Juan;Fernando Garro;Huracan;Argentina;1;0
Juan Fernando Quintero Paniagua;Juan;Fernando Quintero Paniagua;Racing Club;Colombia;2;1
Juan Gabriel Rodriguez;Juan;Gabriel Rodriguez;Talleres Cordoba;Argentina;1;0
Juan Ignacio Cavallaro;Juan;Ignacio Cavallaro;Arsenal de Sarandi;Argentina;0;0
Juan Ignacio Diaz;Juan;Ignacio Diaz;Barracas Central;Argentina;0;1
Juan Ignacio Goyeneche;Juan;Ignacio Goyeneche;San Lorenzo;Argentina;0;0
Juan Ignacio Mendez;Juan;Ignacio Mendez;Velez Sarsfield;Argentina;0;1
Juan Ignacio Nardoni;Juan;Ignacio Nardoni;Racing Club;Argentina;1;3
Juan Ignacio Peinipil;Juan;Ignacio Peinipil;Arsenal de Sarandi;Argentina;0;0
Juan Infante;Juan;Infante;Platense;Argentina;0;1
Juan Jose Caceres;Juan;Jose Caceres;Lanus;Argentina;0;2
Juan Jose Cardozo;Juan;Jose Cardozo;Argentinos Juniors;Paraguay;0;0
Juan Jose Franco Arrellaga;Juan;Jose Franco Arrellaga;Instituto;Paraguay;0;0
Juan Ludueña;Juan;Ludueña;Union Santa Fe;Argentina;0;0
Juan Manuel Garcia;Juan;Manuel Garcia;Huracan;Argentina;1;1
Juan Manuel Insaurralde;Juan;Manuel Insaurralde;Sarmiento;Argentina;0;1
Juan Manuel Sichez Miño;Juan;Manuel Sichez Miño;Lanus;Argentina;0;1
Juan Martin Ginzo;Juan;Martin Ginzo;Lanus;Argentina;0;0
Juan Pablo Alvarez;Juan;Pablo Alvarez;Banfield;Argentina;2;1
Juan Pablo Pignani;Juan;Pablo Pignani;Platense;Argentina;0;0
Juan Pablo Rodriguez;Juan;Pablo Rodriguez;Lanus;Argentina;0;0
Juan Pablo Zozaya;Juan;Pablo Zozaya;Estudiantes;Argentina;0;0
Juan Ramon Cazares Sevillano;Juan;Ramon Cazares Sevillano;Independiente;Ecuador;0;0
Juan Sebastii Sforza;Juan;Sebastii Sforza;Newell's Old Boys;Argentina;2;1
Juan Serrizuela;Juan;Serrizuela;Barracas Central;Argentina;0;0
Juan Strumia;Juan;Strumia;Belgrano;Argentina;0;0
Julii Alejo Lopez;Julii;Alejo Lopez;Defensa y Justicia;Argentina;0;0
Julii Antonio Chicco;Julii;Antonio Chicco;Colon;Argentina;0;0
Julii Aude;Julii;Aude;Lanus;Argentina;0;0
Julian Carrasco;Julian;Carrasco;Atletico Tucuman;Argentina;0;0
Julii Contrera;Julii;Contrera;Newell's Old Boys;Argentina;0;0
Julii Eseiza;Julii;Eseiza;Godoy Cruz;Argentina;1;0
Julii Fernidez;Julii;Fernidez;Velez Sarsfield;Argentina;3;0
Julii Malatini;Julii;Malatini;Defensa y Justicia;Argentina;0;0
Julii Navas;Julii;Navas;Central Cordoba SdE;Argentina;0;0
Julii Rodrigo Fernidez;Julii;Rodrigo Fernidez;Lanus;Argentina;0;0
Julii Viollaz;Julii;Viollaz;Barracas Central;Argentina;0;0
Julio Alberto Buffarini;Julio;Alberto Buffarini;Talleres Cordoba;Argentina;0;0
Julio Cesar Soler Barreto;Julio;Cesar Soler Barreto;Lanus;Argentina;0;0
Junior Osvaldo Marabel Jara;Junior;Osvaldo Marabel Jara;Union Santa Fe;Paraguay;0;0
Justo D'angelo Ronconi;Justo;D'angelo Ronconi;Independiente;Argentina;0;0
Justo Giani;Justo;Giani;Atletico Tucuman;Argentina;0;1
Kevin Andres Mantilla Camargo;Kevin;Andres Mantilla Camargo;Talleres Cordoba;Colombia;0;0
Kevin Andres Zenon;Kevin;Andres Zenon;Union Santa Fe;Argentina;2;1
Kevin Isa;Kevin;Isa;Atletico Tucuman;Argentina;0;0
Kevin Isaias Silva;Kevin;Isaias Silva;Rosario Central;Argentina;0;0
Kevin Joel Lomonaco;Kevin;Joel Lomonaco;Tigre;Argentina;0;0
Kevin Mac Allister;Kevin;Mac Allister;Argentinos Juniors;Argentina;4;0
Kevin Stiven Quejada Lasso;Kevin;Stiven Quejada Lasso;Barracas Central;Colombia;0;0
Laureano Imanol Martinez Lezcano;Laureano;Imanol Martinez Lezcano;Talleres Cordoba;Argentina;0;0
Laurtaro Giaccone;Laurtaro;Giaccone;Rosario Central;Argentina;4;5
Lautaro Cerato;Lautaro;Cerato;Sarmiento;Argentina;0;0
Lautaro Fedele;Lautaro;Fedele;Defensa y Justicia;Argentina;0;0
Lautaro Federico Di Lollo;Lautaro;Federico Di Lollo;Boca Juniors;Argentina;0;0
Lautaro Germi Acosta;Lautaro;Germi Acosta;Lanus;Argentina;0;0
Lautaro Gianetti;Lautaro;Gianetti;Velez Sarsfield;Argentina;1;2
Lautaro Lopez Kaleniuk;Lautaro;Lopez Kaleniuk;San Lorenzo;Argentina;0;0
Lautaro Miguel Angel Garzon;Lautaro;Miguel Angel Garzon;Velez Sarsfield;Argentina;0;0
Lautaro Montoya;Lautaro;Montoya;Tigre;Argentina;0;0
Lautaro Morales;Lautaro;Morales;Talleres Cordoba;Argentina;0;0
Lautaro Nahuel Ovando;Lautaro;Nahuel Ovando;Argentinos Juniors;Argentina;0;0
Lautaro Nicola Rios;Lautaro;Nicola Rios;Banfield;Argentina;0;0
Lautaro Toledo;Lautaro;Toledo;Platense;Argentina;0;0
Lautaro Toma Escalante;Lautaro;Toma Escalante;Defensa y Justicia;Argentina;0;1
Lautaro Valentin Vargas;Lautaro;Valentin Vargas;Defensa y Justicia;Argentina;0;0
Leandro Agustin Figueredo;Leandro;Agustin Figueredo;Huracan;Argentina;0;0
Leandro Agustin Ojeda;Leandro;Agustin Ojeda;Colon;Argentina;0;0
Leandro Alberto Ciccoloni;Leandro;Alberto Ciccoloni;Central Cordoba SdE;Argentina;0;0
Leandro Brey;Leandro;Brey;Boca Juniors;Argentina;0;0
Leandro Espejo;Leandro;Espejo;Defensa y Justicia;Argentina;0;0
Leandro Fabii Quiroz;Leandro;Fabii Quiroz;Colon;Argentina;0;0
Leandro Gonzalez Pirez;Leandro;Gonzalez Pirez;River Plate;Argentina;1;1
Leandro Isaac Maciel;Leandro;Isaac Maciel;Central Cordoba SdE;Argentina;4;1
Leandro Lescano;Leandro;Lescano;Huracan;Argentina;0;0
Leandro Mamut;Leandro;Mamut;Gimnasia La Plata;Argentina;0;0
Leandro Nicola Contin;Leandro;Nicola Contin;Gimnasia La Plata;Argentina;1;0
Leandro Nicola Diaz;Leandro;Nicola Diaz;Lanus;Argentina;12;4
Leandro Raul Moreira;Leandro;Raul Moreira;Arsenal de Sarandi;Argentina;1;0
Lenny Ivo Lobato Romanelli;Lenny;Ivo Lobato Romanelli;Velez Sarsfield;Argentina;0;2
Leonardo Fabii Burii Castro;Leonardo;Fabii Burii Castro;Velez Sarsfield;Uruguay;0;0
Leonardo Germi Sigali;Leonardo;Germi Sigali;Racing Club;Argentina;0;0
Leonardo Godoy;Leonardo;Godoy;Estudiantes;Argentina;1;5
Leonardo Heredia;Leonardo;Heredia;Argentinos Juniors;Argentina;4;1
Leonardo Marchi Rivero;Leonardo;Marchi Rivero;Arsenal de Sarandi;Argentina;0;0
Leonardo Monje;Leonardo;Monje;Instituto;Argentina;0;1
Leonardo Morales;Leonardo;Morales;Gimnasia La Plata;Argentina;1;1
Leonardo Rafael Jara;Leonardo;Rafael Jara;Velez Sarsfield;Argentina;1;1
Leonardo Sebastii Prediger;Leonardo;Sebastii Prediger;Tigre;Argentina;0;0
Leonel Ariel Miranda;Leonel;Ariel Miranda;Racing Club;Argentina;0;0
Leonel Di Placido;Leonel;Di Placido;Lanus;Argentina;0;0
Leonel Ezequiel Vangioni;Leonel;Ezequiel Vangioni;Newell's Old Boys;Argentina;0;0
Leonel Gonzalez;Leonel;Gonzalez;Argentinos Juniors;Argentina;0;0
Leonel Mosevich;Leonel;Mosevich;Instituto;Argentina;0;0
Leonel Picco;Leonel;Picco;Colon;Argentina;0;0
Leonel Ulises Perez;Leonel;Ulises Perez;Huracan;Argentina;0;0
Lisandro Lopez;Lisandro;Lopez;Sarmiento;Argentina;2;0
Lisandro Morales;Lisandro;Morales;Union Santa Fe;Argentina;0;0
Lisandro Sebastii Montenegro;Lisandro;Sebastii Montenegro;Newell's Old Boys;Argentina;1;0
Luca Daniel Langoni;Luca;Daniel Langoni;Boca Juniors;Argentina;3;1
Luca Leovino Martinez Dupuy;Luca;Leovino Martinez Dupuy;Rosario Central;Mexico;0;0
Lucas Abraham Chavez;Lucas;Abraham Chavez;Huracan;Argentina;0;0
Lucas Adrii Hoyos;Lucas;Adrii Hoyos;Newell's Old Boys;Argentina;0;0
Lucas Agustin Besozzi;Lucas;Agustin Besozzi;Central Cordoba SdE;Argentina;3;2
Lucas Andres Colitto;Lucas;Andres Colitto;Barracas Central;Argentina;1;0
Lucas Angel Esquivel;Lucas;Angel Esquivel;Union Santa Fe;Argentina;0;0
Lucas Arce;Lucas;Arce;Godoy Cruz;Argentina;1;1
Lucas Ariel Menossi;Lucas;Ariel Menossi;Tigre;Argentina;1;1
Lucas Beltri;Lucas;Beltri;River Plate;Argentina;12;3
Lucas Bernabeu;Lucas;Bernabeu;Belgrano;Argentina;0;0
Lucas Blondel;Lucas;Blondel;Boca Juniors;Argentina;0;1
Lucas Brochero;Lucas;Brochero;Arsenal de Sarandi;Argentina;1;4
Lucas Castro;Lucas;Castro;Gimnasia La Plata;Argentina;0;0
Lucas David Pratto;Lucas;David Pratto;Defensa y Justicia;Argentina;3;1
Lucas Eduardo Carrizo;Lucas;Eduardo Carrizo;Huracan;Argentina;0;0
Lucas Emanuel Angelini;Lucas;Emanuel Angelini;Central Cordoba SdE;Argentina;1;0
Lucas Emanuel Gamba;Lucas;Emanuel Gamba;Central Cordoba SdE;Argentina;6;5
Lucas Ezequiel Janson;Lucas;Ezequiel Janson;Boca Juniors;Argentina;4;0
Lucas Gabriel Albertengo;Lucas;Gabriel Albertengo;Instituto;Argentina;0;0
Lucas Gabriel Merolla;Lucas;Gabriel Merolla;Huracan;Argentina;0;1
Lucas Gonzalez Martinez;Lucas;Gonzalez Martinez;Independiente;Argentina;0;0
Lucas Ignacio Lavagnino;Lucas;Ignacio Lavagnino;River Plate;Argentina;0;0
Lucas Javier Acevedo;Lucas;Javier Acevedo;Colon;Argentina;0;0
Lucas Joaquin Meuli Palma;Lucas;Joaquin Meuli Palma;Union Santa Fe;Argentina;0;0
Lucas Martin Diarte;Lucas;Martin Diarte;Belgrano;Argentina;1;0
Lucas Mauricio Acosta;Lucas;Mauricio Acosta;Lanus;Argentina;0;0
Lucas Nahuel Escobar;Lucas;Nahuel Escobar;Defensa y Justicia;Argentina;0;0
Lucas Nahuel Naranjo;Lucas;Nahuel Naranjo;Atletico Tucuman;Argentina;0;0
Lucas Nahuel Rodriguez;Lucas;Nahuel Rodriguez;Instituto;Argentina;0;0
Lucas Santiago Melano;Lucas;Santiago Melano;Sarmiento;Argentina;4;2
Lucas Souto;Lucas;Souto;Huracan;Argentina;0;1
Lucas Suarez;Lucas;Suarez;Talleres Cordoba;Argentina;0;0
Lucas Villalba;Lucas;Villalba;Argentinos Juniors;Argentina;0;1
Luciano Arnijas;Luciano;Arnijas;Talleres Cordoba;Argentina;0;0
Luciano Boggio Albin;Luciano;Boggio Albin;Lanus;Uruguay;0;4
Luciano Cingolani;Luciano;Cingolani;Godoy Cruz;Argentina;0;0
Luciano Emilio Gondou Zanelli;Luciano;Emilio Gondou Zanelli;Argentinos Juniors;Argentina;10;2
Luciano Ferreyra;Luciano;Ferreyra;Platense;Argentina;1;0
Luciano Gomez;Luciano;Gomez;Gimnasia La Plata;Argentina;0;2
Luciano Peraggini;Luciano;Peraggini;Lanus;Argentina;0;0
Luciano Romi Aued;Luciano;Romi Aued;Instituto;Argentina;1;1
Luciano Sichez;Luciano;Sichez;Argentinos Juniors;Argentina;0;0
Luciano Suarez;Luciano;Suarez;Lanus;Argentina;0;0
Lucio Tadeo Cruceño;Lucio;Tadeo Cruceño;Godoy Cruz;Argentina;0;0
Luis Alberto Ojeda;Luis;Alberto Ojeda;Atletico Tucuman;Argentina;0;0
Luis Enrique Del Pino Mago;Luis;Enrique Del Pino Mago;Banfield;Venezuela;0;0
Luis Ezequiel Unsain;Luis;Ezequiel Unsain;Defensa y Justicia;Argentina;0;0
