full_name;name;last_name;current_club;nationality;goals_overall;assists_overall
Andres Vombergar;Andres;Vombergar;San Lorenzo;Argentina;5;2
Angel Cardozo Lucena;Angel;Cardozo Lucena;Colon;Paraguay;0;0
Angel David Sayago;Angel;David Sayago;Independiente;Argentina;0;0
Angel Guillermo Benitez;Angel;Guillermo Benitez;Huracan;Argentina;0;1
Angel Maria Benitez Arguello;Angel;Maria Benitez Arguello;Defensa y Justicia;Paraguay;0;0
Angelo Martino;Angelo;Martino;Newell's Old Boys;Argentina;0;1
Anibal Ismael Moreno;Anibal;Ismael Moreno;Racing Club;Argentina;2;1
Anibal Jonathan Gaston Bay;Anibal;Jonathan Gaston Bay;Instituto;Argentina;0;0
Antonio Napolitano;Antonio;Napolitano;Gimnasia La Plata;Argentina;0;0
Ariel Agustin Sant'Anna Quintero;Ariel;Agustin Sant'Anna Quintero;Defensa y Justicia;Uruguay;0;2
Ariel Matias Garcia;Ariel;Matias Garcia;Belgrano;Argentina;1;0
Ariel Mauricio Rojas;Ariel;Mauricio Rojas;Belgrano;Argentina;0;3
Armando Jesus Mendez Alcorta;Armando;Jesus Mendez Alcorta;Newell's Old Boys;Uruguay;0;0
Astor Piatti;Astor;Piatti;Rosario Central;Argentina;0;0
Augusto Lotti;Augusto;Lotti;Lanus;Italy;1;0
Augusto Martin Batalla Barga;Augusto;Martin Batalla Barga;San Lorenzo;Argentina;0;0
Augusto Schott;Augusto;Schott;Newell's Old Boys;Argentina;0;0
Axel Atum;Axel;Atum;Estudiantes;Argentina;0;1
Axel Rodriguez;Axel;Rodriguez;Instituto;Argentina;1;0
Axel Werner;Axel;Werner;Rosario Central;Argentina;0;0
Ayrton Enrique Costa;Ayrton;Enrique Costa;Independiente;Argentina;1;2
Baldomero Perlaza Perlaza;Baldomero;Perlaza Perlaza;Colon;Colombia;1;3
Baltasar Gallego Rodriguez;Baltasar;Gallego Rodriguez;Racing Club;Argentina;2;0
Bautista Barros Schelotto;Bautista;Barros Schelotto;Gimnasia La Plata;Argentina;1;1
Bautista Biffi;Bautista;Biffi;Estudiantes;Argentina;0;0
Bautista Kociubinski;Bautista;Kociubinski;Atletico Tucuman;Argentina;2;0
Benjamin Rollheiser;Benjamin;Rollheiser;Estudiantes;Argentina;6;3
Blas Agustin Palavecino;Blas;Agustin Palavecino;Estudiantes;Argentina;0;0
Blas Esteban Armoa Nuñez;Blas;Esteban Armoa Nuñez;Tigre;Paraguay;3;0
Brahian Cuello;Brahian;Cuello;Instituto;Argentina;0;1
Brahian Milton Alemi Athaydes;Brahian;Milton Alemi Athaydes;Banfield;Uruguay;1;4
Braian Alejandro Guille;Braian;Alejandro Guille;Atletico Tucuman;Argentina;0;0
Braian Ezequiel Romero;Braian;Ezequiel Romero;Velez Sarsfield;Argentina;0;0
Braian Javier Salvareschi;Braian;Javier Salvareschi;Godoy Cruz;Argentina;1;0
Braian Nahuel Aguirre;Braian;Nahuel Aguirre;Lanus;Argentina;0;1
