timestamp;date_GMT;date;status;country;home_team_name;away_team_name;referee;referee_name;referee_last_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_yellow_cards;home_team_red_cards;home_team_shots;away_team_shots;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
1681405200;4/13/2023 5:00 ;2023-04-13;complete;Argentina;Arsenal de SarandI;Godoy Cruz;Rodrigo Hector Rivero;Rodrigo;Hector Rivero;2;3;5;3;0;7;11;16;10;55;45;Estadio Julio Humberto Grondona (Avellaneda- Provincia de Buenos Aires)
1681414200;4/13/2023 7:30 ;2023-04-13;complete;Argentina;Colon;Talleres Cordoba;Sebastián Nicolás Martinez;Sebastián;Nicolás Martinez;2;2;4;1;1;11;13;11;14;36;64;Estadio Brigadier General Estanislao López (Ciudad de Santa Fe- Provincia de Santa Fe)
1681425000;4/13/2023 10:30 ;2023-04-13;complete;Argentina;River Plate;Gimnasia La Plata;Dario Herrera;Dario;Herrera;3;0;3;1;0;16;10;9;12;71;29;Estadio Mâs Monumental (Capital Federal- Ciudad de Buenos Aires)
1681432200;4/14/2023 12:30 ;2023-04-14;complete;Argentina;Tigre;Sarmiento;noname;noname;;1;0;1;4;0;12;16;11;16;64;36;Estadio José Dellagiovanna (San Fernando- Provincia de Buenos Aires)
1681587000;4/15/2023 7:30 ;2023-04-15;complete;Argentina;Defensa y Justicia;Instituto;Nazareno Arasa;Nazareno;Arasa;1;0;1;2;0;12;19;7;6;40;60;Estadio Norberto Tito Tomaghello (Florencio Varela- Provincia de Buenos Aires)
1681596000;4/15/2023 10:00 ;2023-04-15;complete;Argentina;Boca Juniors;Estudiantes;Pablo Echavarria;Pablo;Echavarria;0;1;1;4;0;7;5;12;21;68;32;Estadio Alberto Jose Armando (Ciudad de Buenos Aires)
1681605000;4/16/2023 12:30 ;2023-04-16;complete;Argentina;Gimnasia La Plata;Belgrano;noname;noname;;0;2;2;2;0;12;7;7;12;56;44;Estadio Juan Carmelo Zerillo (La Plata- Provincia de Buenos Aires)
1681605000;4/16/2023 12:30 ;2023-04-16;complete;Argentina;Huracan;Argentinos Juniors;Leandro Rey Hilfer;Leandro;Rey Hilfer;0;0;0;1;0;7;2;16;15;49;51;Estadio Tomás Adolfo Ducó (Capital Federal- Ciudad de Buenos Aires)
1681664400;4/16/2023 5:00 ;2023-04-16;complete;Argentina;Velez Sarsfield;Barracas Central;Luis Lobo Medina;Luis;Lobo Medina;0;0;0;4;1;5;8;10;9;46;54;Estadio Jose Amalfitani (Capital Federal- Ciudad de Buenos Aires)
1681664400;4/16/2023 5:00 ;2023-04-16;complete;Argentina;Union Santa Fe;Tigre;Ariel Penel;Ariel;Penel;0;0;0;0;0;14;8;11;12;48;52;Estadio 15 de Abril (Ciudad de Santa Fe- Provincia de Santa Fe)
1681673400;4/16/2023 7:30 ;2023-04-16;complete;Argentina;Independiente;Racing Club;Yael Falcon Perez;Yael;Falcon Perez;1;1;2;4;0;8;9;14;12;42;58;Estadio Libertadores de América (Avellaneda- Provincia de Buenos Aires)
1681682400;4/16/2023 10:00 ;2023-04-16;complete;Argentina;Newell's Old Boys;River Plate;Hernan Mastrangelo;Hernan;Mastrangelo;0;1;1;4;0;10;8;13;16;50;50;Estadio Marcelo Alberto Bielsa (Rosario- Provincia de Santa Fe)
1681691400;4/17/2023 12:30 ;2023-04-17;complete;Argentina;Talleres Cordoba;San Lorenzo;Fernando Rapallini;Fernando;Rapallini;0;0;0;1;0;12;6;10;8;53;47;Estadio Mario Alberto Kempes (Ciudad de Córdoba- Provincia de Córdoba)
1681759800;4/17/2023 7:30 ;2023-04-17;complete;Argentina;Platense;Colon;Sebastian Zunino;Sebastian;Zunino;0;0;0;1;0;9;8;12;10;44;56;Estadio Ciudad de Vicente Lopez (Vicente Lopez- Provincia de Buenos Aires)
1681768800;4/17/2023 10:00 ;2023-04-17;complete;Argentina;Banfield;Central Cordoba SdE;Dario Herrera;Dario;Herrera;1;0;1;2;0;8;11;10;13;40;60;Estadio Florencio Solá (Lomas de Zamora- Provincia de Buenos Aires)
1681768800;4/17/2023 10:00 ;2023-04-17;complete;Argentina;Sarmiento;Arsenal de Sarandi;Jorge Nelson Sosa;Jorge;Nelson Sosa;1;0;1;1;0;13;12;11;17;39;61;Estadio Eva Perón de Junín (Junín- Provincia de Buenos Aires)
