id_jugador;full_name;name;last_name;age;birthday_GMT;position_campo;current_club;nationality
56;Alexis Martinez;Alexis;Martinez;18;NULL;Defender;Huracan;Argentina
57;Alexis Nahuel Soto;Alexis;Nahuel Soto;29;NULL;Defender;Defensa y Justicia;Argentina
58;Alexis Pedro Canelo;Alexis;Pedro Canelo;31;NULL;Midfielder;Independiente;Argentina
59;Alexis Sebastii Segovia;Alexis;Sebastii Segovia;19;NULL;Forward;Lanus;Argentina
60;Alexis Steimbach;Alexis;Steimbach;21;NULL;Midfielder;Gimnasia La Plata;Argentina
61;Alfredo Ramon Amarilla;Alfredo;Ramon Amarilla;21;NULL;Midfielder;Arsenal de Sarandi;Paraguay
62;Andres Alberto Desabato;Andres;Alberto Desabato;33;NULL;Goalkeeper;Barracas Central;Argentina
63;Andres Berizovsky;Andres;Berizovsky;18;NULL;Defender;Defensa y Justicia;Argentina
64;Andres Eliseo Chavez;Andres;Eliseo Chavez;32;NULL;Forward;Banfield;Argentina
65;Andres Felipe Amaya Rivera;Andres;Felipe Amaya Rivera;22;NULL;Midfielder;Belgrano;Colombia
66;Andres Felipe Roa Estrada;Andres;Felipe Roa Estrada;30;NULL;Midfielder;Huracan;Colombia
67;Andres Lorenzo Rios;Andres;Lorenzo Rios;34;NULL;Forward;Defensa y Justicia;Argentina
68;Andres Vombergar;Andres;Vombergar;28;NULL;Forward;San Lorenzo;Argentina
69;Angel Cardozo Lucena;Angel;Cardozo Lucena;28;NULL;Midfielder;Colon;Paraguay
70;Angel David Sayago;Angel;David Sayago;23;NULL;Forward;Independiente;Argentina
71;Angel Guillermo Benitez;Angel;Guillermo Benitez;29;NULL;Defender;Huracan;Argentina
72;Angel Maria Benitez Arguello;Angel;Maria Benitez Arguello;27;NULL;Midfielder;Defensa y Justicia;Paraguay
73;Angelo Martino;Angelo;Martino;25;NULL;Midfielder;Newell's Old Boys;Argentina
74;Anibal Ismael Moreno;Anibal;Ismael Moreno;24;NULL;Midfielder;Racing Club;Argentina
75;Anibal Jonathan Gaston Bay;Anibal;Jonathan Gaston Bay;30;NULL;Defender;Instituto;Argentina
76;Antonio Napolitano;Antonio;Napolitano;24;NULL;Midfielder;Gimnasia La Plata;Argentina
77;Ariel Agustin Sant'Anna Quintero;Ariel;Agustin Sant'Anna Quintero;25;NULL;Defender;Defensa y Justicia;Uruguay
78;Ariel Matias Garcia;Ariel;Matias Garcia;31;NULL;Midfielder;Belgrano;Argentina
